m, 	 n, 	 a, 		 B, 		 Tb, 		 Mb, 		 COx, 		 POx, 		 TOx, 		 MOx, 		 Tt, 		 Mt
12, 	 384,	 0.49945,	 7.676, 	 135.678, 	 97.573, 	 0.325, 	 3.006, 	 3.331, 	 3.209, 	 139.009, 	 100.782

12, 	 384,	 0.50435,	 7.759, 	 134.873, 	 97.573, 	 1.370, 	 2.924, 	 4.293, 	 2.497, 	 139.167, 	 100.070
12, 	 384,	 0.50381,	 7.759, 	 134.956, 	 97.573, 	 1.143, 	 2.770, 	 3.912, 	 2.667, 	 138.869, 	 100.239
12, 	 384,	 0.50326,	 7.759, 	 135.041, 	 97.573, 	 0.941, 	 2.847, 	 3.788, 	 2.840, 	 138.829, 	 100.413
12, 	 384,	 0.50272,	 7.759, 	 135.128, 	 97.573, 	 0.766, 	 3.002, 	 3.768, 	 3.017, 	 138.896, 	 100.590
12, 	 384,	 0.50218,	 7.759, 	 135.217, 	 97.573, 	 0.616, 	 3.059, 	 3.675, 	 3.196, 	 138.891, 	 100.769

12, 	 384,	 0.50543,	 7.842, 	 134.715, 	 97.573, 	 1.285, 	 2.879, 	 4.164, 	 3.000, 	 138.879, 	 100.573
12, 	 384,	 0.50489,	 7.842, 	 134.793, 	 97.573, 	 1.069, 	 2.905, 	 3.975, 	 3.180, 	 138.768, 	 100.753
12, 	 384,	 0.50435,	 7.842, 	 134.873, 	 97.573, 	 0.879, 	 2.980, 	 3.859, 	 3.363, 	 138.732, 	 100.936
12, 	 384,	 0.50381,	 7.842, 	 134.956, 	 97.573, 	 0.714, 	 2.970, 	 3.683, 	 3.548, 	 138.640, 	 101.121
12, 	 384,	 0.50326,	 7.842, 	 135.041, 	 97.573, 	 0.573, 	 3.059, 	 3.632, 	 3.736, 	 138.673, 	 101.308
12, 	 384,	 0.50272,	 7.842, 	 135.128, 	 97.573, 	 0.455, 	 3.109, 	 3.564, 	 3.925, 	 138.692, 	 101.498

12, 	 384,	 0.50651,	 7.926, 	 134.568, 	 97.573, 	 1.197, 	 2.971, 	 4.168, 	 3.529, 	 138.736, 	 101.102
12, 	 384,	 0.50597,	 7.926, 	 134.640, 	 97.573, 	 0.995, 	 2.975, 	 3.970, 	 3.717, 	 138.610, 	 101.290
12, 	 384,	 0.50543,	 7.926, 	 134.715, 	 97.573, 	 0.816, 	 3.056, 	 3.872, 	 3.907, 	 138.587, 	 101.480
12, 	 384,	 0.50489,	 7.926, 	 134.793, 	 97.573, 	 0.662, 	 3.145, 	 3.807, 	 4.098, 	 138.600, 	 101.671
12, 	 384,	 0.50435,	 7.926, 	 134.873, 	 97.573, 	 0.531, 	 3.060, 	 3.590, 	 4.291, 	 138.464, 	 101.864
12, 	 384,	 0.50381,	 7.926, 	 134.956, 	 97.573, 	 0.421, 	 3.171, 	 3.592, 	 4.485, 	 138.549, 	 102.058
12, 	 384,	 0.50326,	 7.926, 	 135.041, 	 97.573, 	 0.331, 	 3.121, 	 3.452, 	 4.680, 	 138.494, 	 102.253

12, 	 384,	 0.50759,	 8.009, 	 134.437, 	 97.573, 	 1.107, 	 2.946, 	 4.053, 	 4.077, 	 138.490, 	 101.650
12, 	 384,	 0.50705,	 8.009, 	 134.501, 	 97.573, 	 0.918, 	 3.017, 	 3.935, 	 4.271, 	 138.436, 	 101.844
12, 	 384,	 0.50651,	 8.009, 	 134.568, 	 97.573, 	 0.753, 	 3.019, 	 3.771, 	 4.465, 	 138.340, 	 102.038
12, 	 384,	 0.50597,	 8.009, 	 134.640, 	 97.573, 	 0.610, 	 3.076, 	 3.686, 	 4.661, 	 138.326, 	 102.234
12, 	 384,	 0.50543,	 8.009, 	 134.715, 	 97.573, 	 0.489, 	 3.204, 	 3.693, 	 4.858, 	 138.408, 	 102.431
12, 	 384,	 0.50489,	 8.009, 	 134.793, 	 97.573, 	 0.388, 	 3.146, 	 3.534, 	 5.056, 	 138.327, 	 102.628

12, 	 384,	 0.50920,	 8.092, 	 134.274, 	 97.573, 	 1.205, 	 2.967, 	 4.172, 	 4.442, 	 138.446, 	 102.015
12, 	 384,	 0.50866,	 8.092, 	 134.323, 	 97.573, 	 1.012, 	 3.013, 	 4.025, 	 4.638, 	 138.348, 	 102.211
12, 	 384,	 0.50813,	 8.092, 	 134.377, 	 97.573, 	 0.840, 	 3.119, 	 3.958, 	 4.836, 	 138.336, 	 102.408
12, 	 384,	 0.50759,	 8.092, 	 134.437, 	 97.573, 	 0.688, 	 3.091, 	 3.779, 	 5.034, 	 138.216, 	 102.607
12, 	 384,	 0.50705,	 8.092, 	 134.501, 	 97.573, 	 0.557, 	 3.118, 	 3.675, 	 5.233, 	 138.176, 	 102.806
12, 	 384,	 0.50651,	 8.092, 	 134.568, 	 97.573, 	 0.447, 	 3.171, 	 3.618, 	 5.432, 	 138.186, 	 103.005
12, 	 384,	 0.50597,	 8.092, 	 134.640, 	 97.573, 	 0.355, 	 3.253, 	 3.608, 	 5.632, 	 138.248, 	 103.205

12, 	 384,	 0.50920,	 8.176, 	 134.274, 	 97.573, 	 0.759, 	 3.105, 	 3.863, 	 5.408, 	 138.137, 	 102.981
12, 	 384,	 0.50866,	 8.176, 	 134.323, 	 97.573, 	 0.622, 	 3.084, 	 3.706, 	 5.609, 	 138.029, 	 103.182
12, 	 384,	 0.50813,	 8.176, 	 134.377, 	 97.573, 	 0.504, 	 3.130, 	 3.634, 	 5.810, 	 138.011, 	 103.383
12, 	 384,	 0.50759,	 8.176, 	 134.437, 	 97.573, 	 0.405, 	 3.275, 	 3.679, 	 6.012, 	 138.116, 	 103.585
12, 	 384,	 0.50705,	 8.176, 	 134.501, 	 97.573, 	 0.322, 	 3.241, 	 3.562, 	 6.214, 	 138.063, 	 103.786

12, 	 384,	 0.51081,	 8.259, 	 134.162, 	 97.573, 	 0.814, 	 3.190, 	 4.004, 	 5.783, 	 138.165, 	 103.356
12, 	 384,	 0.51027,	 8.259, 	 134.193, 	 97.573, 	 0.676, 	 3.181, 	 3.856, 	 5.986, 	 138.049, 	 103.558
12, 	 384,	 0.50974,	 8.259, 	 134.230, 	 97.573, 	 0.555, 	 3.271, 	 3.826, 	 6.188, 	 138.056, 	 103.761
12, 	 384,	 0.50920,	 8.259, 	 134.274, 	 97.573, 	 0.450, 	 3.198, 	 3.649, 	 6.391, 	 137.922, 	 103.964
12, 	 384,	 0.50866,	 8.259, 	 134.323, 	 97.573, 	 0.362, 	 3.282, 	 3.645, 	 6.594, 	 137.967, 	 104.167
12, 	 384,	 0.50813,	 8.259, 	 134.377, 	 97.573, 	 0.289, 	 3.412, 	 3.700, 	 6.797, 	 138.078, 	 104.370

12, 	 384,	 0.51081,	 8.342, 	 134.162, 	 97.573, 	 0.487, 	 3.223, 	 3.710, 	 6.770, 	 137.872, 	 104.343
12, 	 384,	 0.51027,	 8.342, 	 134.193, 	 97.573, 	 0.397, 	 3.343, 	 3.739, 	 6.974, 	 137.932, 	 104.547
12, 	 384,	 0.50974,	 8.342, 	 134.230, 	 97.573, 	 0.320, 	 3.512, 	 3.832, 	 7.178, 	 138.062, 	 104.751

12, 	 384,	 0.51241,	 8.426, 	 134.110, 	 97.573, 	 0.508, 	 3.309, 	 3.818, 	 7.149, 	 137.928, 	 104.722
12, 	 384,	 0.51188,	 8.426, 	 134.120, 	 97.573, 	 0.420, 	 3.413, 	 3.832, 	 7.354, 	 137.952, 	 104.926
12, 	 384,	 0.51134,	 8.426, 	 134.137, 	 97.573, 	 0.343, 	 3.401, 	 3.745, 	 7.559, 	 137.882, 	 105.131
12, 	 384,	 0.51081,	 8.426, 	 134.162, 	 97.573, 	 0.278, 	 3.495, 	 3.773, 	 7.764, 	 137.934, 	 105.336
12, 	 384,	 0.51027,	 8.426, 	 134.193, 	 97.573, 	 0.224, 	 3.493, 	 3.716, 	 7.968, 	 137.909, 	 105.541

12, 	 384,	 0.51295,	 8.509, 	 134.108, 	 97.573, 	 0.355, 	 3.431, 	 3.786, 	 7.938, 	 137.894, 	 105.511
12, 	 384,	 0.51241,	 8.509, 	 134.110, 	 97.573, 	 0.291, 	 3.418, 	 3.710, 	 8.144, 	 137.820, 	 105.716
12, 	 384,	 0.51188,	 8.509, 	 134.120, 	 97.573, 	 0.237, 	 3.541, 	 3.778, 	 8.349, 	 137.898, 	 105.922
12, 	 384,	 0.51134,	 8.509, 	 134.137, 	 97.573, 	 0.192, 	 3.433, 	 3.625, 	 8.555, 	 137.763, 	 106.128
12, 	 384,	 0.51081,	 8.509, 	 134.162, 	 97.573, 	 0.154, 	 3.607, 	 3.761, 	 8.760, 	 137.922, 	 106.333
12, 	 384,	 0.51027,	 8.509, 	 134.193, 	 97.573, 	 0.123, 	 3.764, 	 3.887, 	 8.966, 	 138.080, 	 106.538

12, 	 384,	 0.51401,	 8.592, 	 134.125, 	 97.573, 	 0.293, 	 3.523, 	 3.817, 	 8.523, 	 137.942, 	 106.095
12, 	 384,	 0.51348,	 8.592, 	 134.113, 	 97.573, 	 0.242, 	 3.609, 	 3.852, 	 8.729, 	 137.964, 	 106.302
12, 	 384,	 0.51295,	 8.592, 	 134.108, 	 97.573, 	 0.199, 	 3.564, 	 3.762, 	 8.935, 	 137.870, 	 106.508
